Gender,Age,casualListen,focusListen,Instrument,Percussion,Read,Rock_Preference,Electronic_Preference,Latin_Preference,Complex_Rhythms,Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Hamming,Linear,Rock-Hamming-Linear-73-17.wav,73,17,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Hamming,Linear,Rock-Hamming-Linear-84-10.wav,84,10,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Hamming,Parallel,Rock-Hamming-Parallel-73-17.wav,73,17,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Hamming,Parallel,Rock-Hamming-Parallel-81-12.wav,81,12,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Hamming,Parallel,Rock-Hamming-Parallel-91-6.wav,91,6,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Swap,Linear,Rock-Swap-Linear-03-34.wav,03,34,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Swap,Linear,Rock-Swap-Linear-06-17.wav,06,17,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Swap,Linear,Rock-Swap-Linear-17-5.wav,17,5,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Swap,Parallel,Rock-Swap-Parallel-12-60.wav,12,60,1
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Swap,Parallel,Rock-Swap-Parallel-39-32.wav,39,32,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Swap,Parallel,Rock-Swap-Parallel-58-20.wav,58,20,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-95-3.wav,95,3,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,1
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-91-6.wav,91,6,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,latin,Hamming,Parallel,Latin-Hamming-Parallel-77-15.wav,77,15,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,latin,Hamming,Parallel,Latin-Hamming-Parallel-83-11.wav,83,11,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,interestingness,latin,Hamming,Parallel,Latin-Hamming-Parallel-92-5.wav,92,5,4
