Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,NA
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,5
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,5
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,5
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,5
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,1
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,3
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,4
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,5
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,5
interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,5
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-11-51.wav,11,51,5
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
