Algorithm,Measure,Value
CNN,precision,0.9615384615384616
CNN,recall,0.8522727272727273
CNN,f-measure,0.9036144578313254
CNN,precision,0.875
CNN,recall,0.9074074074074074
CNN,f-measure,0.8909090909090909
CNN,precision,0.9122807017543859
CNN,recall,0.9122807017543859
CNN,f-measure,0.9122807017543859
CNN,precision,0.9846153846153847
CNN,recall,0.8421052631578947
CNN,f-measure,0.9078014184397163
CNN,precision,0.9622641509433962
CNN,recall,0.9622641509433962
CNN,f-measure,0.9622641509433962
CNN,precision,1.0
CNN,recall,0.9384615384615385
CNN,f-measure,0.9682539682539683
CNN,precision,0.9583333333333334
CNN,recall,0.8117647058823529
CNN,f-measure,0.8789808917197452
CNN,precision,0.9696969696969697
CNN,recall,0.9552238805970149
CNN,f-measure,0.9624060150375939
CNN,precision,0.9852941176470589
CNN,recall,0.9054054054054054
CNN,f-measure,0.943661971830986
CNN,precision,1.0
CNN,recall,0.9821428571428571
CNN,f-measure,0.9909909909909909
CNN,precision,0.9375
CNN,recall,0.9523809523809523
CNN,f-measure,0.9448818897637795
CNN,precision,0.9701492537313433
CNN,recall,0.8552631578947368
CNN,f-measure,0.9090909090909092
CNN,precision,0.9736842105263158
CNN,recall,0.9367088607594937
CNN,f-measure,0.9548387096774194
CNN,precision,0.9850746268656716
CNN,recall,0.9705882352941176
CNN,f-measure,0.9777777777777777
CNN,precision,0.9850746268656716
CNN,recall,0.9166666666666666
CNN,f-measure,0.949640287769784
CNN,precision,0.9180327868852459
CNN,recall,0.835820895522388
CNN,f-measure,0.875
CNN,precision,0.9122807017543859
CNN,recall,0.8813559322033898
CNN,f-measure,0.8965517241379309
CNN,precision,0.9791666666666666
CNN,recall,0.8867924528301887
CNN,f-measure,0.9306930693069307
CNN,precision,1.0
CNN,recall,0.9206349206349206
CNN,f-measure,0.9586776859504132
CNN,precision,1.0
CNN,recall,0.8947368421052632
CNN,f-measure,0.9444444444444444
CNN,precision,0.9324324324324325
CNN,recall,0.9078947368421053
CNN,f-measure,0.92
CNN,precision,0.96875
CNN,recall,0.775
CNN,f-measure,0.8611111111111113
CNN,precision,0.9848484848484849
CNN,recall,0.8441558441558441
CNN,f-measure,0.9090909090909091
CNN,precision,0.967741935483871
CNN,recall,0.8695652173913043
CNN,f-measure,0.9160305343511451
CNN,precision,0.9523809523809523
CNN,recall,0.7843137254901961
CNN,f-measure,0.8602150537634408
CNN,precision,0.9811320754716981
CNN,recall,0.8
CNN,f-measure,0.8813559322033898
CNN,precision,0.958904109589041
CNN,recall,0.9090909090909091
CNN,f-measure,0.9333333333333333
CNN,precision,0.9538461538461539
CNN,recall,0.96875
CNN,f-measure,0.9612403100775193
CNN,precision,0.9649122807017544
CNN,recall,0.7857142857142857
CNN,f-measure,0.8661417322834646
CNN,precision,0.9104477611940298
CNN,recall,0.9242424242424242
CNN,f-measure,0.9172932330827067
CNN,precision,0.9615384615384616
CNN,recall,0.7575757575757576
CNN,f-measure,0.8474576271186441
CNN,precision,0.9818181818181818
CNN,recall,0.7941176470588235
CNN,f-measure,0.8780487804878049
CNN,precision,1.0
CNN,recall,0.9230769230769231
CNN,f-measure,0.9600000000000001
CNN,precision,0.9512195121951219
CNN,recall,1.0
CNN,f-measure,0.975
CNN,precision,0.9821428571428571
CNN,recall,0.7638888888888888
CNN,f-measure,0.8593749999999999
CNN,precision,1.0
CNN,recall,0.9857142857142858
CNN,f-measure,0.9928057553956835
CNN,precision,0.9056603773584906
CNN,recall,0.9230769230769231
CNN,f-measure,0.9142857142857143
CNN,precision,0.9726027397260274
CNN,recall,0.8987341772151899
CNN,f-measure,0.9342105263157895
CNN,precision,0.9852941176470589
CNN,recall,0.9436619718309859
CNN,f-measure,0.9640287769784172
CNN,precision,1.0
CNN,recall,0.6515151515151515
CNN,f-measure,0.7889908256880734
CNN,precision,1.0
CNN,recall,0.9152542372881356
CNN,f-measure,0.9557522123893806
CNN,precision,0.9354838709677419
CNN,recall,0.8787878787878788
CNN,f-measure,0.90625
CNN,precision,0.9343065693430657
CNN,recall,0.8366013071895425
CNN,f-measure,0.8827586206896553
CNN,precision,0.9655172413793104
CNN,recall,0.9929078014184397
CNN,f-measure,0.9790209790209791
CNN,precision,0.9593908629441624
CNN,recall,0.9402985074626866
CNN,f-measure,0.949748743718593
CNN,precision,0.97
CNN,recall,0.9897959183673469
CNN,f-measure,0.9797979797979798
CNN,precision,0.9597701149425287
CNN,recall,0.9653179190751445
CNN,f-measure,0.962536023054755
CNN,precision,0.9671361502347418
CNN,recall,0.8619246861924686
CNN,f-measure,0.911504424778761
CNN,precision,0.9695121951219512
CNN,recall,0.9814814814814815
CNN,f-measure,0.9754601226993865
CNN,precision,0.98125
CNN,recall,0.9691358024691358
CNN,f-measure,0.9751552795031055
CNN,precision,0.5660377358490566
CNN,recall,0.2830188679245283
CNN,f-measure,0.3773584905660377
CNN,precision,0.8648648648648649
CNN,recall,0.5614035087719298
CNN,f-measure,0.6808510638297872
CNN,precision,0.9736842105263158
CNN,recall,0.9736842105263158
CNN,f-measure,0.9736842105263158
CNN,precision,0.9870689655172413
CNN,recall,0.950207468879668
CNN,f-measure,0.9682875264270613
CNN,precision,0.9782608695652174
CNN,recall,0.9782608695652174
CNN,f-measure,0.9782608695652174
CNN,precision,0.9946808510638298
CNN,recall,0.958974358974359
CNN,f-measure,0.9765013054830287
CNN,precision,0.9402985074626866
CNN,recall,0.9130434782608695
CNN,f-measure,0.9264705882352942
CNN,precision,0.9910714285714286
CNN,recall,0.9487179487179487
CNN,f-measure,0.9694323144104804
CNN,precision,1.0
CNN,recall,0.9263157894736842
CNN,f-measure,0.9617486338797814
CNN,precision,0.7857142857142857
CNN,recall,0.7333333333333333
CNN,f-measure,0.7586206896551724
CNN,precision,1.0
CNN,recall,0.9534883720930233
CNN,f-measure,0.9761904761904763
CNN,precision,0.9662921348314607
CNN,recall,0.8269230769230769
CNN,f-measure,0.8911917098445596
CNN,precision,0.9912663755458515
CNN,recall,0.9153225806451613
CNN,f-measure,0.9517819706498951
CNN,precision,0.9655172413793104
CNN,recall,0.9180327868852459
CNN,f-measure,0.9411764705882353
CNN,precision,0.9456521739130435
CNN,recall,0.8787878787878788
CNN,f-measure,0.9109947643979057
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.98125
CNN,recall,0.9631901840490797
CNN,f-measure,0.9721362229102166
CNN,precision,0.9506172839506173
CNN,recall,0.8191489361702128
CNN,f-measure,0.8799999999999999
CNN,precision,0.875
CNN,recall,0.8235294117647058
CNN,f-measure,0.8484848484848485
CNN,precision,0.9895833333333334
CNN,recall,0.9895833333333334
CNN,f-measure,0.9895833333333334
CNN,precision,0.8235294117647058
CNN,recall,0.6666666666666666
CNN,f-measure,0.7368421052631577
CNN,precision,1.0
CNN,recall,0.9454545454545454
CNN,f-measure,0.9719626168224299
CNN,precision,0.8723404255319149
CNN,recall,0.8913043478260869
CNN,f-measure,0.8817204301075269
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9781021897810219
CNN,recall,0.9370629370629371
CNN,f-measure,0.9571428571428573
CNN,precision,0.9699248120300752
CNN,recall,0.9347826086956522
CNN,f-measure,0.952029520295203
CNN,precision,0.975609756097561
CNN,recall,0.96
CNN,f-measure,0.9677419354838709
CNN,precision,0.9772727272727273
CNN,recall,0.9148936170212766
CNN,f-measure,0.945054945054945
CNN,precision,0.8295454545454546
CNN,recall,0.8021978021978022
CNN,f-measure,0.8156424581005587
CNN,precision,0.8333333333333334
CNN,recall,0.29411764705882354
CNN,f-measure,0.4347826086956522
CNN,precision,0.896551724137931
CNN,recall,0.8524590163934426
CNN,f-measure,0.8739495798319327
CNN,precision,1.0
CNN,recall,0.9807692307692307
CNN,f-measure,0.9902912621359222
CNN,precision,0.9541284403669725
CNN,recall,1.0
CNN,f-measure,0.9765258215962441
CNN,precision,0.9879518072289156
CNN,recall,0.9425287356321839
CNN,f-measure,0.9647058823529412
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.8888888888888888
CNN,recall,0.4444444444444444
CNN,f-measure,0.5925925925925926
CNN,precision,1.0
CNN,recall,0.9583333333333334
CNN,f-measure,0.9787234042553191
CNN,precision,1.0
CNN,recall,0.9878048780487805
CNN,f-measure,0.9938650306748467
CNN,precision,0.9166666666666666
CNN,recall,0.9166666666666666
CNN,f-measure,0.9166666666666666
CNN,precision,0.75
CNN,recall,0.9473684210526315
CNN,f-measure,0.8372093023255814
CNN,precision,0.9655172413793104
CNN,recall,0.9333333333333333
CNN,f-measure,0.9491525423728815
CNN,precision,0.9948453608247423
CNN,recall,0.9796954314720813
CNN,f-measure,0.9872122762148339
CNN,precision,1.0
CNN,recall,0.9186046511627907
CNN,f-measure,0.9575757575757576
CNN,precision,0.9875
CNN,recall,0.9634146341463414
CNN,f-measure,0.9753086419753086
CNN,precision,0.9494949494949495
CNN,recall,0.9791666666666666
CNN,f-measure,0.9641025641025641
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.8
CNN,recall,1.0
CNN,f-measure,0.888888888888889
CNN,precision,0.9
CNN,recall,1.0
CNN,f-measure,0.9473684210526316
CNN,precision,0.9868421052631579
CNN,recall,1.0
CNN,f-measure,0.9933774834437086
CNN,precision,0.9090909090909091
CNN,recall,1.0
CNN,f-measure,0.9523809523809523
CNN,precision,0.875
CNN,recall,1.0
CNN,f-measure,0.9333333333333333
CNN,precision,0.9333333333333333
CNN,recall,1.0
CNN,f-measure,0.9655172413793104
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9583333333333334
CNN,recall,0.8846153846153846
CNN,f-measure,0.9199999999999999
CNN,precision,0.8571428571428571
CNN,recall,1.0
CNN,f-measure,0.923076923076923
CNN,precision,0.9411764705882353
CNN,recall,0.8421052631578947
CNN,f-measure,0.8888888888888888
CNN,precision,0.8181818181818182
CNN,recall,0.9
CNN,f-measure,0.8571428571428572
CNN,precision,0.8571428571428571
CNN,recall,1.0
CNN,f-measure,0.923076923076923
CNN,precision,0.9230769230769231
CNN,recall,1.0
CNN,f-measure,0.9600000000000001
CNN,precision,0.9090909090909091
CNN,recall,0.9090909090909091
CNN,f-measure,0.9090909090909091
CNN,precision,0.9969604863221885
CNN,recall,0.9507246376811594
CNN,f-measure,0.973293768545994
CNN,precision,1.0
CNN,recall,0.9384615384615385
CNN,f-measure,0.9682539682539683
CNN,precision,0.9705882352941176
CNN,recall,0.8918918918918919
CNN,f-measure,0.9295774647887325
CNN,precision,0.9361702127659575
CNN,recall,0.9361702127659575
CNN,f-measure,0.9361702127659575
CNN,precision,0.9722222222222222
CNN,recall,0.8333333333333334
CNN,f-measure,0.8974358974358975
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9789473684210527
CNN,recall,0.9789473684210527
CNN,f-measure,0.9789473684210527
CNN,precision,0.9836065573770492
CNN,recall,0.8333333333333334
CNN,f-measure,0.9022556390977444
CNN,precision,0.96
CNN,recall,0.9230769230769231
CNN,f-measure,0.9411764705882353
CNN,precision,0.9568965517241379
CNN,recall,0.8951612903225806
CNN,f-measure,0.925
CNN,precision,0.9807692307692307
CNN,recall,0.9272727272727272
CNN,f-measure,0.9532710280373831
CNN,precision,1.0
CNN,recall,0.7931034482758621
CNN,f-measure,0.8846153846153846
CNN,precision,0.8333333333333334
CNN,recall,1.0
CNN,f-measure,0.9090909090909091
CNN,precision,0.9611650485436893
CNN,recall,0.9
CNN,f-measure,0.9295774647887324
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9386503067484663
CNN,recall,0.884393063583815
CNN,f-measure,0.9107142857142857
CNN,precision,1.0
CNN,recall,0.9019607843137255
CNN,f-measure,0.9484536082474228
CNN,precision,0.8333333333333334
CNN,recall,0.8333333333333334
CNN,f-measure,0.8333333333333334
CNN,precision,1.0
CNN,recall,0.9386503067484663
CNN,f-measure,0.9683544303797469
CNN,precision,0.9655172413793104
CNN,recall,0.875
CNN,f-measure,0.9180327868852458
CNN,precision,0.9411764705882353
CNN,recall,0.9411764705882353
CNN,f-measure,0.9411764705882353
CNN,precision,0.9090909090909091
CNN,recall,0.9375
CNN,f-measure,0.923076923076923
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9703703703703703
CNN,recall,0.8562091503267973
CNN,f-measure,0.9097222222222221
CNN,precision,0.9528301886792453
CNN,recall,0.9439252336448598
CNN,f-measure,0.948356807511737
CNN,precision,0.9588607594936709
CNN,recall,0.907185628742515
CNN,f-measure,0.9323076923076924
CNN,precision,0.9660678642714571
CNN,recall,0.8776065276518585
CNN,f-measure,0.9197149643705462
CNN,precision,0.9659685863874345
CNN,recall,0.8163716814159292
CNN,f-measure,0.8848920863309353
CNN,precision,0.9452054794520548
CNN,recall,0.7695167286245354
CNN,f-measure,0.8483606557377049
CNN,precision,0.9805194805194806
CNN,recall,0.84593837535014
CNN,f-measure,0.9082706766917293
CNN,precision,0.9044585987261147
CNN,recall,0.7675675675675676
CNN,f-measure,0.8304093567251463
CNN,precision,0.75
CNN,recall,0.75
CNN,f-measure,0.75
CNN,precision,0.9142857142857143
CNN,recall,0.8205128205128205
CNN,f-measure,0.8648648648648648
CNN,precision,1.0
CNN,recall,0.9047619047619048
CNN,f-measure,0.9500000000000001
CNN,precision,1.0
CNN,recall,0.6904761904761905
CNN,f-measure,0.8169014084507042
CNN,precision,1.0
CNN,recall,0.9183673469387755
CNN,f-measure,0.9574468085106383
CNN,precision,0.9838709677419355
CNN,recall,0.9838709677419355
CNN,f-measure,0.9838709677419355
CNN,precision,1.0
CNN,recall,0.8780487804878049
CNN,f-measure,0.9350649350649352
CNN,precision,0.9583333333333334
CNN,recall,0.8214285714285714
CNN,f-measure,0.8846153846153847
CNN,precision,0.8461538461538461
CNN,recall,0.8148148148148148
